Model,ROC AUC,Accuracy,Precision,Recall,F1-Score,Best Params
Random Forest,0.8145945945945947,0.7248322147651006,0.7142857142857143,0.7432432432432432,0.7284768211920529,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 200}"
AdaBoost,0.7835135135135135,0.7449664429530202,0.7432432432432432,0.7432432432432432,0.7432432432432432,"{'learning_rate': 1.0, 'n_estimators': 50}"
Gradient Boosting,0.8100000000000002,0.7651006711409396,0.7349397590361446,0.8243243243243243,0.7770700636942676,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100}"
