Model,ROC AUC,Accuracy,Precision,Recall,F1-Score,Best Params
Random Forest,0.9515944924020832,0.8949579831932774,0.9206349206349206,0.8854961832061069,0.9027237354085603,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}"
AdaBoost,0.8804665763002069,0.819327731092437,0.8384615384615385,0.8320610687022901,0.8352490421455939,"{'learning_rate': 0.5, 'n_estimators': 100}"
Gradient Boosting,0.9250909609759577,0.8697478991596639,0.8787878787878788,0.8854961832061069,0.8821292775665399,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 150}"
